Ticker,Current Price,DonchianLow,DonchianHigh,UpperVol,LowerVol,ImpliedVol,VolumeChange,UpperRange,LowerRange,PercentDownside,PercentUpside,Signal
PHYS,15.455,15.39,16.5,16.250587767802102,16.1294122321979,0.072,49.182,16.4394122321979,15.450587767802102,0%,7%,~1 Stdev Lower
F,7.23,6.52,7.13,7.177918840700825,7.002081159299174,0.085,-49.431,7.042081159299174,6.607918840700825,10%,Infinite,Donchian High Breached
WPM,49.28,51.93,57.89,53.29141001397007,52.20858998602993,0.58,-22.826,57.34858998602993,52.47141001397007,Infinite,17%,Donchian Low Breached
KGC,8.585,8.47,10.21,9.414758542752809,9.225241457247192,0.102,-18.546,10.115241457247192,8.56475854275281,1%,19%,~1 Stdev Lower
SPY,336.305,319.64,335.77,336.8796048023324,334.2603951976676,1.386,-39.868,334.4603951976676,320.9496048023324,5%,Infinite,Donchian High Breached
AG,11.89,12.72,14.57,13.082871407992581,12.85712859200742,0.159,66.785,14.45712859200742,12.832871407992581,Infinite,23%,Donchian Low Breached
GDX,39.55,40.96,45.78,42.786490519923014,41.99350948007699,0.39,35.94,45.38350948007699,41.356490519923014,Infinite,16%,Donchian Low Breached
AUY,5.95,6.22,7.02,6.487074279602334,6.392925720397667,0.055,-5.533,6.972925720397666,6.267074279602333,Infinite,18%,Donchian Low Breached
GDXJ,56.4,58.04,65.95,61.254006082011955,60.04599391798804,0.619,21.31,65.34599391798804,58.644006082011956,Infinite,17%,Donchian Low Breached
GLD,182.56,182.13,194.45,190.7334168124897,189.5665831875103,0.777,106.04,193.8665831875103,182.7134168124897,0%,7%,Buy!
GOLD,26.42,27.52,30.69,28.97041730224895,28.469582697751047,0.227,2.18,30.43958269775105,27.77041730224895,Infinite,16%,Donchian Low Breached
SPAZF,0.55,0.304,0.58,0.5542353510532045,0.5457646489467955,0.008,390.261,0.5757646489467955,0.3082353510532045,45%,5%,Hold - Within StDev
CNSUF,0.17,0.14,0.195,0.1724380954302563,0.16756190456974374,0.003,154.852,0.19256190456974373,0.1424380954302563,18%,15%,Hold - Within StDev
AUMN,0.4206,0.3867,0.5,0.4483779805940993,0.4316220194059007,0.007,0.693,0.4916220194059007,0.39507798059409927,8%,19%,~1 Stdev Lower
HL,5.78,5.19,6.79,6.272718982340222,6.187281017659779,0.078,82.014,6.747281017659779,5.232718982340222,10%,17%,~1 Stdev Lower
MUX,1.275,1.29,1.53,1.3828632362304496,1.3571367637695506,0.016,35.193,1.5171367637695505,1.3028632362304495,Infinite,20%,Donchian Low Breached
JPM,105.365,95.03,102.04,101.86320650741386,99.41679349258614,1.064,-39.756,100.81679349258614,96.25320650741386,10%,Infinite,Donchian High Breached
MSFT,206.39,199.01,217.64,209.8555353292369,206.6444646707631,1.287,10.553,216.0344646707631,200.61553532923688,4%,5%,~1 Stdev Lower
EGO,11.135,11.62,13.2,12.036494867160114,11.723505132839888,0.153,-38.434,13.043505132839886,11.776494867160112,Infinite,19%,Donchian Low Breached
NEM,63.545,64.53,72.22,68.41840415442465,67.36159584557535,0.497,-40.992,71.69159584557535,65.05840415442465,Infinite,14%,Donchian Low Breached
FNV,143.885,152.1,166.11,153.7167281676355,151.68327183236448,1.122,-16.157,165.0932718323645,153.1167281676355,Infinite,15%,Donchian Low Breached
SBSW,10.985,10.91,12.47,11.53293428908687,11.287065710913131,0.138,21.304,12.347065710913132,11.03293428908687,1%,14%,Buy!
SLV,25.21,21.4,27.39,27.070567846336978,26.929432153663022,0.178,219.332,27.319432153663023,21.470567846336976,15%,9%,~1 Stdev Lower
UBER,31.75,29.79,34.8,32.696817847576504,31.843182152423502,0.392,-29.077,34.373182152423496,30.2168178475765,6%,10%,~1 Stdev Lower
VXX,25.405,25.66,31.27,26.36039928609813,25.13960071390187,0.608,55.318,30.65960071390187,26.27039928609813,Infinite,23%,Donchian Low Breached
WKHS,15.38,14.8,19.68,16.58870008098175,13.951299919018252,0.928,830.263,18.36129991901825,16.11870008098175,4%,28%,Buy!
TLT,166.565,168.97,172.25,169.57556241216048,168.66443758783953,0.493,-38.063,171.79443758783952,169.42556241216047,Infinite,3%,Donchian Low Breached
CVNA,192.73,148.49,225.45,191.86046089649594,188.37953910350407,2.064,-30.696,223.70953910350406,150.23046089649594,23%,17%,~1 Stdev Higher
ISVLF,0.75,0.6777,0.92,0.7579498111452524,0.7420501888547476,0.011,171.4,0.9120501888547476,0.6856498111452524,10%,23%,Hold - Within StDev
