ticker,name,lastPrice,peRatio,week52,changeToday,day5ChangePercent,month1ChangePercent,ytdChangePercent,volumeChangeDay,fromHigh,ttmEPS
HCA,HCA Healthcare Inc,166.6,16.61809022388938,173.6,-0.2,-0.89,1.5,1.5,-27.65%,95.968,9.88
MA,Mastercard Incorporated,334.985,47.257293483889384,365.23,4.17,-2.32,-9.8,-9.8,-26.99%,91.719,6.67
SLB,Schlumberger Ltd.,22.55,-2.933442030195855,34.38,1.76,-6.66,1.51,1.51,-25.39%,65.59,-7.57
CI,Cigna Corp.,219.62,14.777876661132076,228.42,1.3,-1.49,4.14,4.14,-52.47%,96.147,14.18
FIS,"Fidelity National Information Services, Inc.",132.88,-771.0418781299999,155.9,2.82,1.11,-8.65,-8.65,-55.5%,85.234,-0.1661
GOLD,Barrick Gold Corp.,22.405,13.24534045299405,30.34,-0.6,-3.84,-1.05,-1.05,-54.84%,73.846,1.7
FNV,Franco-Nevada Corporation,121.36,89.13482081780823,162.79,-1.07,-0.19,-2.12,-2.12,-56.31%,74.55,1.38
WPM,Wheaton Precious Metals Corp,40.955,45.43865139082377,55.93,-5.37,7.37,3.69,3.69,-63.4%,73.225,0.9518
SHOP,Shopify Inc,1222.235,702.5001997372815,1277.08,6.75,-5.06,1.15,1.15,11.21%,95.705,1.63
BB,BlackBerry Ltd,11.795,-9.922091822831325,25.1,-19.38,-18.86,120.66,120.66,-11.08%,46.992,-1.45
